school_emis_code,school_name,school_latitude,school_longitude
35210411,GPS DHALLA VIRK,31.393902,74.45049522
35220222,GPS BHAIKOT,31.2911734,74.1907361
35210647,GGPS DOGRAI KALAN,31.60132967,74.50050669
35210489,GGES NARWAR,31.56425916,74.5676972
35210174,GGHS MUHAMMAD PURA,31.45940117,74.36133357
35220148,GGES DHER SHAHDARA,31.63565013,74.3066958
35220103,GES RAIWIND TOWN,31.2411059,74.2047726
35220534,GPS NAHLA,31.27237841,74.17215896
35210823,GGHS CDG A/3 KABUTAR PURA GULBERG III LAHORE,31.5051501,74.35614668
35210438,GES SADHUKI,31.38958314,74.28013447
35220302,GGPS JODHO DHEER,31.2593955,74.2308044
35210073,GGHS MODEL QALANDER PURA,31.57445784,74.4334399
35220551,GGES CDG JUNIOR MODEL SADDIQUE PURA WAPDA COLONY,31.603321,74.3143575
35210499,GGPS DERA CHAHAL,31.44290894,74.47345535
35210878,GHS CDG TAKIA LEHRI SHAH,31.5320057,74.3119333
35210507,GGPS RAKH BAKHINTH,31.38832389,74.51532112
35220181,GPS CDG JIA BAGGA,31.32765004,74.29175637
35210133,GHS GAJU MATTA,31.3872018,74.35954361
35210865,GES CDGF AJODHIA PUR JOHAR TOWN,31.46122784,74.29366479
35210089,GGHS MUSLIM DRY PORT MUGHALPURA,31.55813588,74.37510604
35210007,GHS HUDIARA,31.44256528,74.57112707
35210286,GPS ABADI HAYAT SHAH,31.66175033,74.46252778
35220484,GMMS MOHAMMADIA RIZVIA AKRAM PARK SANDA KHURD LAHORE,31.5654035,74.2776724
35220312,GGES RASOOL PURA,31.3582829,74.28537223
35210005,GGHSS SINGH PURA,31.58266561,74.36673051
35210212,GPS RAKH HARDIT SINGH,31.43009267,74.61724154
35220565,GGES CDG JUNIOR MODEL KHOKHAR PIND BADAMI BAGH,31.6076518,74.3312301
35210130,GES RAKH CHANDRAI,31.42964839,74.32864901
35220641,GPS CHAH SADDAY WALA,31.27453742,74.1028578
35210233,GPS HAVELI BRAHMAN ABAD,31.50758286,74.57532414
35210289,GPS KAROWL WAR,31.63803403,74.37073354
35210035,GHS LAHORE CANTT,31.53146131,74.35981577
35220405,GGPS BARKAT TOWN SAGIAN SHAHDRA,31.58402197,74.25620053
35220227,GPS JHUGIAN CHUMBRAN,31.3598255,74.14666154
35220243,GES TALAB SARAY,31.26818268,74.10158132
35210314,GPS GURUMANGET,31.51502294,74.35738628
35220129,GGHS BHOBTIAN,31.40038696,74.22623489
35220003,GGHSS CHUNG MULTAN ROAD,31.4265557,74.1723841
35210524,GGPS DHOORI,31.54145229,74.49611457
35220276,GPS FAIZ-E-AM QAZAFI COLONY BADAMI BAGH,31.60557519,74.32028982
35210572,GGHS MODEL WAHDAT ROAD,31.5062835,74.3025072
35220257,GPS AWAMI MODEL SANAT NAGAR,31.57300706,74.2853268
35220048,GHSS MARAKA QUARTERS MULTAN ROAD,31.38492892,74.14963251
35220305,GGPS KINGRA,31.30907178,74.26471889
35210478,GGPS S-A MODEL BHABHARA,31.49052951,74.33993893
35220639,GHS CDG HANIF PARK,31.602853,74.3127313
35210002,GGHSS SHEIKH SARDAR MUHAMMAD GARHI SHAHU,31.55882345,74.34999654
35210081,GGHS MODEL SAMANABAD,31.53396151,74.30238348
35210737,GGPS THEH DIAL SINGH,31.27129664,74.4315719
35220396,GGPS NEW SHAD BAGH,31.5981603,74.3470796
35210785,GGHS SADHOKEY LAHORE CITY,31.39305292,74.27672463
35220282,GPS NAVEED JUNIOR MODEL AMIR ROAD,31.59882076,74.35226711
35220022,GHS COMMUNITY MOZANG BEGUM ROAD,31.56315723,74.31224336
35220438,GGPS KOT JAHAN KHAN,31.28184417,74.1125508
35220611,GHS CDG TEZAB AHATA,31.57939629,74.34513252
35210280,GPS KHAIRA,31.583934,74.49767562
35210196,GPS DARAS BARY MIAN,31.57555708,74.37855855
35210384,GPS LUCK LINE LHR,31.50122481,74.37114174
35210673,GGPS AWAN DHAI WALA,31.64661882,74.46158834
35210853,GPS MASJID TAJDAIN MUGHAL PURA,31.56090707,74.36058741
35210412,GPS GURUMANGAT NAU ABAD,31.39337876,74.40961174
35220178,GES JALYANA NIAZBAIG LAHORE,31.39141648,74.19576148
35210236,GPS NATHOKI,31.54914654,74.5250235
35210644,GGPS WARA ALLAH DAD,31.56590867,74.50901776
35220607,GHS CDG BEGUM KOT SHAHDARA,31.61081656,74.26272366
35220585,GES MC YOUSAF PARK,31.62269464,74.26702484
35220440,GGPS MANGA MORE,31.300817,74.0654855
35220102,GES PAJIAN,31.303101,74.2247953
35210759,GPS PUBLIC ISLAMIA LIAQAT ABAD KOT LAKHPAT,31.46580888,74.33430235
35210334,GPS BUDHWAR,31.33829147,74.45774314
35210177,GGHS PAF BASE IQBAL CAMP LAHORE,31.51593375,74.39661023
35220181,GPS CDG JIA BAGGA,31.32765004,74.29175637
35210782,GHS F.D. MODEL GARDEN TOWN,31.50198275,74.3307511
35220143,GGES KASHMIR BADAMI BAGH,31.5895569,74.3269123
35210484,GGES BAGRIAN LAHORE CANTT,31.42369686,74.29100982
35210361,GES MUFT PURA,31.45243749,74.35923642
35210638,GGPS MANAN WALA BADIAN ROAD,31.47208119,74.41981335
35210227,GPS KHARAK,31.56568693,74.59759042
35220006,GGHSS VICTORIA INSIDE MORI GATE LAHORE,31.57967352,74.31140031
35220161,GPS GHANG SHARIF,31.33135449,74.32226735
35210086,GGHS RAFIQ-E-NISWAN,31.55216562,74.3653609
35210545,GGPS JHUGIAN NOOR PUR ,31.42860233,74.53533685
35220637,GGHS CDG JUNIOR MODEL LOHARI GATE,31.57740718,74.31180951
35210407,GPS THATA KHURD,31.39756121,74.43167408
35220165,GES BADOOKI SANI,31.32263537,74.1827484
35210754,GES SUTAR MILLS,31.59328632,74.45425048
35210028,GHS NARWAR,31.56231594,74.56622156
35220027,GHS ISLAMIA MOHNI ROAD,31.5817211,74.30298071
35220005,"GGHSS SHAHDRA TOWN, LAHORE",31.62042352,74.3093107
35220158,GPS JINNAH ABADI (OLD CHAH JAWANA),31.2426132,74.2234892
35220244,GES WARA SIDHU,31.2794107,74.184501
35210039,GHS IQBAL GARHI SHAHU,31.56120961,74.34920487
35210743,GGPS BAO BHOLA LAHORE CANTT,31.3517497,74.4608958
35220128,GGHS NIAZ BAIG,31.4897384,74.2374901
35210397,GPS PHULARWAN LAHORE CANTT,31.53441845,74.45755002
35210218,GPS CHINKOWINDI,31.50239283,74.53824093
35210403,GPS DERA CHAHIL,31.44437707,74.47234374
35210571,GGHS MODEL WAHDAT COLONY,31.5112205,74.3028535
35220002,GGHSS AWAN TOWN,31.5041037,74.25812535
