License No,Store Name,Store Address,Town Name,Location
10BNT0910,M/s Moon Medical Store,"Shop No.1, Faisal Bazar Qainchi Amar Sidhu",NISHTAR TOWN,"31.46317126310892,74.34613420337394"
132BNT102012,M/S Mubeen Medical Store,"Village Heir, Lahore Cantt",NISHTAR TOWN,"31.4065952867427,74.48954212249198"
222504,M/s Mughal Medical Store,"Near Meowali Mosque, Village Kamahan",NISHTAR TOWN,"31.446752186311148,74.38718295026727"
330305,M/s Muhammad Pervaiz Brothers,"Gate No.1, Emergency, Lahore General Hospital, Ferozepur Road, Lahore",NISHTAR TOWN,"31.457067123290287,74.35069467412632"
30BNT1010,M/s Nadeem Medical Store,"Shop No.199, Shami Park, Phase-I chungi Amar Sidhu, Lahore",NISHTAR TOWN,"31.448780595840518,74.35528348816125"
10802,M/s Munir Pharmacy,"Shop No.2, 38-Bilal Block, Nishter Colony, Ferozepur Rd, Lahore",NISHTAR TOWN,"31.42207228703501,74.36053548917046"
207804,M/s Naseer Medical Store,"Main Bazar, Qainchi Amar Sidhu, Lahore",NISHTAR TOWN,"31.462659737276695,74.34654415674247"
117903,M/s Nazir Medical Store,"Q.No.353, Block No.5, Sector D-II, Shop No.51, Green Town, Lahore",NISHTAR TOWN,"31.433537021367886,74.30924558160957"
32BNT1010,M/s New Asia Medical Store,"Shop No.86, Sitara Colony No.2, Kamahan Road, Chungi Amer Sidhu, Lahore",NISHTAR TOWN,"31.44740660279457,74.35819709506617"
1120200311,M/s New Jamu Medical and Super Store,"Ali Muhammad Arcade, Main Bazar Qanchi Stop, Ferozepur Road, Lahore",NISHTAR TOWN,"31.463726460210243,74.34758790270033"
253704,M/s New Malik Medical Store,"Moza Kacha Kahna Nau, Lahore",NISHTAR TOWN,"31.38820577496502,74.31930256181683"
264804,M/s Noble Medical Store,"Main Bazar Church Road, Youhanabad Ferozepur Road",NISHTAR TOWN,"31.413004201422826,74.36339369142942"
11802,M/s Pak Madina Medcial Store,"Nishter Colony, Ferozepur Road, Lahore",NISHTAR TOWN,"31.422163565266423,74.35960752416338"
