270,37120107,GPS KATHA COLONY,ATTOCK,FATEH JANG,FATEH JANG
271,37120109,GPS PIND BAHDAR KHAN,ATTOCK,FATEH JANG,FATEH JANG
272,37120110,GES BATHU,ATTOCK,FATEH JANG,FATEH JANG
273,37120111,GES GAKHAR,ATTOCK,FATEH JANG,FATEH JANG
274,37120113,GPS KOT ZAINDI,ATTOCK,FATEH JANG,FATEH JANG
275,37120114,GPS DHOK MACHIAN,ATTOCK,FATEH JANG,FATEH JANG
276,37120116,GPS STATION ABADI FATEH JANG,ATTOCK,FATEH JANG,FATEH JANG
277,37120117,GPS GARI HASOO KHAN,ATTOCK,FATEH JANG,FATEH JANG
278,37120118,GPS SADQAL,ATTOCK,FATEH JANG,FATEH JANG
279,37120120,GPS CHARRAT,ATTOCK,FATEH JANG,FATEH JANG
280,37120122,GES BHAL SYEDAN,ATTOCK,FATEH JANG,FATEH JANG
281,37120123,GES KHARALA KALAN,ATTOCK,FATEH JANG,FATEH JANG
282,37120124,GES DHOK SEELO,ATTOCK,FATEH JANG,FATEH JANG
283,37120126,GPS KISAN,ATTOCK,FATEH JANG,FATEH JANG
284,37120128,GPS MANIAN WALA,ATTOCK,FATEH JANG,FATEH JANG
285,37120129,GES GALI JAGEER,ATTOCK,FATEH JANG,FATEH JANG
286,37120131,GPS PIND FATEH,ATTOCK,FATEH JANG,FATEH JANG
287,37120132,GPS ARRORIA,ATTOCK,FATEH JANG,FATEH JANG
288,37120133,GPS SHAH RAI BAHADAR,ATTOCK,FATEH JANG,FATEH JANG
289,37120134,GPS LANI WALA,ATTOCK,FATEH JANG,FATEH JANG
290,37120135,GPS ISMAIL,ATTOCK,FATEH JANG,FATEH JANG
291,37120136,GPS DHOK MOUND,ATTOCK,FATEH JANG,FATEH JANG
292,37120137,GES PAGH,ATTOCK,FATEH JANG,FATEH JANG
293,37120138,GPS KOT FATEH KHAN,ATTOCK,FATEH JANG,FATEH JANG
294,37120140,GPS DHOK JAT,ATTOCK,FATEH JANG,FATEH JANG
295,37120141,GPS GADDA,ATTOCK,FATEH JANG,FATEH JANG
296,37120143,GPS DHOK FIDA HUSSAIN,ATTOCK,FATEH JANG,FATEH JANG
297,37120144,GPS DHOK AHMED KHAN,ATTOCK,FATEH JANG,FATEH JANG
298,37120145,GPS DHOK CHACH,ATTOCK,FATEH JANG,FATEH JANG
299,37120146,GPS DHOK KEER,ATTOCK,FATEH JANG,FATEH JANG
300,37120147,GPS BAJAL,ATTOCK,FATEH JANG,FATEH JANG
301,37120148,GPS DOHRRIAN,ATTOCK,FATEH JANG,FATEH JANG
302,37120149,GES KAMRA FATEH JANG,ATTOCK,FATEH JANG,FATEH JANG
303,37120150,GPS DHOK SAWA,ATTOCK,FATEH JANG,FATEH JANG
304,37120152,GES GULYAL,ATTOCK,FATEH JANG,FATEH JANG
305,37120153,GPS NAWAN GIRAN,ATTOCK,FATEH JANG,FATEH JANG
306,37120154,GPS CHAK FATEH KHAN,ATTOCK,FATEH JANG,FATEH JANG
307,37120156,GPS DHOK RANJHA,ATTOCK,FATEH JANG,FATEH JANG
308,37120157,GPS SUBJAL,ATTOCK,FATEH JANG,FATEH JANG
309,37120158,GPS ICHRIAL,ATTOCK,FATEH JANG,FATEH JANG
310,37120159,GPS GAROO,ATTOCK,FATEH JANG,FATEH JANG
311,37120160,GPS GAGAN,ATTOCK,FATEH JANG,FATEH JANG
312,37120161,GPS DHOK KANJAN,ATTOCK,FATEH JANG,FATEH JANG
313,37120162,GPS DHOK MERA,ATTOCK,FATEH JANG,FATEH JANG
314,37120164,GGPS FATEH JANG NO.1,ATTOCK,FATEH JANG,FATEH JANG
315,37120165,GGPS FATEH JANG NO.2,ATTOCK,FATEH JANG,FATEH JANG
316,37120166,GGPS FATEH JANG NO.3,ATTOCK,FATEH JANG,FATEH JANG
317,37120167,GGPS SAHIB KHAN,ATTOCK,FATEH JANG,FATEH JANG
318,37120168,GGPS BHATAR,ATTOCK,FATEH JANG,FATEH JANG
319,37120169,GGES DHAREK,ATTOCK,FATEH JANG,FATEH JANG
320,37120170,GGES LANGER,ATTOCK,FATEH JANG,FATEH JANG
321,37120171,GGPS MALIK PUR,ATTOCK,FATEH JANG,FATEH JANG
322,37120172,GGPS LASSA,ATTOCK,FATEH JANG,FATEH JANG
323,37120173,GGPS JEENDAR,ATTOCK,FATEH JANG,FATEH JANG
324,37120174,GGPS PIND BHADUR KHAN,ATTOCK,FATEH JANG,FATEH JANG
325,37120175,GGPS AMIR KHAN,ATTOCK,FATEH JANG,FATEH JANG
326,37120176,GGPS PEROSHAHI,ATTOCK,FATEH JANG,FATEH JANG
327,37120177,GGPS BEHLOT,ATTOCK,FATEH JANG,FATEH JANG
328,37120178,GGPS BEHLOOL,ATTOCK,FATEH JANG,FATEH JANG
329,37120179,GGPS TARBHATI JHANG,ATTOCK,FATEH JANG,FATEH JANG
330,37120180,GGPS NAIKA,ATTOCK,FATEH JANG,FATEH JANG
331,37120181,GGPS DHOK BALOCH,ATTOCK,FATEH JANG,FATEH JANG
332,37120182,GOVT. MODEL PS BHAGVI,ATTOCK,FATEH JANG,FATEH JANG
333,37120183,GGPS JOHD,ATTOCK,FATEH JANG,FATEH JANG
334,37120184,GGPS KARIMA,ATTOCK,FATEH JANG,FATEH JANG
